Membership number,First name,Middle name,Last name,Date of birth,Address,Status,Membership start date,Membership end date,Renewal date,Phone,Email,Notes
570370,Maria,,Hurley,March 30 1927,,Basic,December 2 1992,,March 18 2025,3504860204,,
613997,Beth,,Zimmerman,April 19 1956,,None,July 22 1991,April 28 2019,May 28 2028,7944837516,,
229067,Darius,,Miller,November 6 1992,,Basic,November 21 2017,,June 18 2023,4359957991,,
479886,Michele,,Bryan,June 5 1931,,Basic,August 20 2016,,March 27 2025,7333054297,,
173174,William,,Dixon,April 18 1972,,Basic,September 23 2017,,March 11 2027,2573609415,,
274914,Jacqueline,,Benson,February 23 1989,,Silver,October 18 2021,,June 28 2026,9395324414,,
413118,Micheal,,Reeves,March 6 1991,,Silver,December 30 2019,,March 30 2026,2865020892,,
416162,Anthony,,Harris,September 3 1940,,Basic,June 13 2018,,January 21 2028,7405113083,,
458735,Nichole,,Hill,January 11 1939,,Platinum,January 20 1981,,July 2 2024,4298519623,,
228757,Gregory,,Holder,September 5 1961,,Silver,December 14 1981,,April 12 2027,8908561884,,
134779,Jason,,White,September 13 1960,,Silver,August 12 2013,,August 21 2026,9793977897,,
506902,Monica,,Monroe,December 22 1955,,Gold,April 14 1991,,February 16 2024,7754634559,,
573922,Maria,,Shaw,September 19 1962,,Gold,November 24 1995,,April 12 2026,6083478958,,
266450,Monica,,Richardson,October 23 1936,,Basic,October 28 2005,,August 30 2023,3979120496,,
373767,Stephen,,Wood,January 6 1935,,Platinum,May 24 2003,,January 26 2027,5825186951,,
248688,Bailey,,Macias,November 22 1927,,Platinum,March 24 1998,,September 21 2026,8322278292,,
674289,Kelly,,Kennedy,November 13 1989,,Platinum,June 28 2021,,May 7 2028,4864851655,,
289980,Carlos,,Ramirez,February 16 1968,,None,July 24 2002,November 28 2017,February 10 2025,3043939124,,
249425,Hannah,,Davis,July 11 1971,,Gold,December 5 2019,,May 17 2024,8772145985,,
473393,Glenn,,Cunningham,October 4 1932,,Basic,January 14 2011,,November 8 2027,5638782798,,
589078,Mark,,Diaz,April 14 1957,,Silver,November 28 2009,,May 11 2027,3913084602,,
697963,Hannah,,Mosley,May 3 1929,,None,March 11 2002,February 26 2015,July 29 2026,7956744615,,
336209,David,,Bolton,May 22 1955,,Platinum,July 20 1989,,May 16 2024,4815041608,,
530664,Kristy,,Hanson,November 2 1978,,None,October 24 2014,May 3 2023,April 3 2027,4912954572,,
435799,Kelly,,Howe,December 7 1953,,Basic,December 15 2012,,September 26 2023,2488744873,,
430650,Angela,,Morrow,August 29 1996,,Basic,January 21 2015,,February 22 2025,7878452027,,
265113,Michael,,Haynes,November 22 1926,,Basic,October 5 2008,,November 9 2025,4433604050,,
575582,Stephanie,,Hoffman,July 10 1948,,Platinum,November 26 1989,,May 23 2027,3202046249,,
253737,William,,Nelson,November 18 1956,,Gold,October 20 1986,,September 19 2023,4338446570,,
150193,Francisco,,Williams,October 23 1968,,Platinum,July 21 1991,,August 13 2025,5216982543,,
510866,Mary,,Myers,March 17 1987,,Basic,June 23 2014,,September 30 2025,2069000300,,
218349,Dylan,,Potts,April 26 1957,,Gold,July 9 2003,,October 23 2027,5319785926,,
201734,Kenneth,,Davis,September 20 1932,,Basic,July 16 1981,,February 19 2028,5396491552,,
612275,Karen,,Garrett,May 6 1974,,Basic,May 5 1995,,March 13 2024,3765300086,,
633905,Douglas,,Adams,November 18 1933,,Gold,January 26 2023,,March 24 2026,2434044512,,
640610,William,,Johnson,June 7 2005,,Platinum,June 10 2023,,March 21 2028,7025323167,,
317556,Angela,,Lopez,February 7 1929,,Gold,October 10 1982,,May 13 2027,6855435554,,
448664,Sarah,,Lyons,August 11 1936,,Gold,October 20 1982,,January 23 2026,3603961496,,
478804,Cassandra,,Hall,May 1 1929,,Silver,March 21 2000,,June 4 2026,8325872992,,
509694,Zachary,,Russell,February 6 1998,,Gold,February 23 2020,,February 27 2025,7808648065,,
108639,Micheal,,Hill,June 22 1930,,Basic,September 10 2019,,September 26 2027,2216663791,,
250163,Jenny,,Coleman,May 31 1933,,Basic,June 30 1982,,December 20 2023,4765480194,,
576109,Sandra,,Kelly,May 1 1984,,Gold,August 25 2010,,November 30 2025,3306829672,,
584742,Brenda,,Burns,January 1 2002,,Gold,February 1 2022,,August 12 2023,5986200852,,
635121,Jason,,Salazar,April 20 1976,,None,January 28 2016,October 30 2017,May 2 2024,7009955011,,
229338,Brenda,,Barron,May 27 1996,,Gold,October 27 2022,,July 1 2024,9826663502,,
166789,Tiffany,,Saunders,January 23 1953,,Silver,December 27 2022,,April 9 2028,8169428114,,
610186,Joseph,,Park,February 24 1984,,Silver,February 18 2006,,July 11 2027,9498447869,,
393400,Debra,,Hogan,April 7 1956,,Platinum,November 25 2000,,February 17 2026,2742122926,,
532140,Christopher,,Marquez,August 17 1955,,Basic,December 30 1997,,February 12 2027,7749601830,,
122205,Ryan,,Cunningham,February 19 2002,,Basic,December 6 2022,,September 12 2027,6007038210,,
409323,Michael,,Barrett,June 30 1988,,None,February 8 2022,March 30 2022,May 17 2028,4327661632,,
594230,Kathleen,,Williams,September 1 1936,,None,October 31 1990,September 12 2022,June 29 2025,9386192358,,
632564,Jennifer,,Carter,May 15 1982,,Silver,December 16 2010,,January 26 2025,5134660280,,
288460,Katie,,Glover,February 21 1973,,Gold,November 17 2009,,May 18 2025,8629546474,,
201673,Charlotte,,Hampton,April 7 1996,,Platinum,January 12 2018,,November 29 2024,7759582435,,
504743,Kelly,,Lester,March 19 2003,,Basic,June 13 2023,,June 30 2026,9458529975,,
363760,Whitney,,Frye,July 25 1933,,Basic,May 4 2020,,March 29 2026,7198530664,,
494318,Cheryl,,Guerrero,August 2 2001,,Platinum,May 11 2021,,January 6 2024,5718299773,,
259469,Marcus,,Cervantes,March 29 1958,,None,February 6 2003,February 1 2019,February 9 2024,7823142740,,
606390,Johnny,,Ramos,June 20 2001,,None,October 11 2022,January 27 2023,May 11 2024,4653488780,,
685587,Jessica,,Davis,October 31 1934,,Basic,June 18 2016,,October 25 2023,3038106369,,
582799,Joshua,,Garcia,July 9 1955,,Basic,March 15 1988,,March 24 2025,8926713341,,
207083,Eddie,,Martinez,September 23 2003,,Gold,January 24 2022,,April 16 2026,3225030328,,
661270,Joseph,,Baker,May 15 1935,,None,April 6 1990,March 7 2003,March 16 2026,8628770196,,
287148,Dawn,,Wilkins,November 2 1944,,Silver,August 17 1983,,June 25 2025,8843745335,,
484035,Heather,,Green,December 3 1995,,Basic,January 7 2018,,June 27 2025,5815703736,,
299647,Justin,,Williams,July 13 1924,,Platinum,March 2 1996,,July 17 2025,6043155374,,
298537,Natalie,,Trujillo,December 1 1929,,Basic,November 7 1996,,August 27 2027,8227918197,,
561851,Emily,,Garcia,May 26 1997,,Gold,April 25 2018,,January 7 2024,5856406374,,
246108,Alexandra,,Fisher,February 6 1972,,Basic,July 24 1998,,July 14 2025,9823150919,,
278737,Brett,,Johnson,May 12 1956,,Platinum,May 3 2009,,February 24 2025,3756241465,,
563291,Jasmine,,Rich,June 21 1949,,None,October 1 1988,October 14 2021,January 23 2025,9075692269,,
182126,Craig,,Morales,October 18 1988,,Silver,May 11 2008,,February 24 2027,4443843750,,
608062,Allison,,Stewart,March 27 1968,,None,November 28 2006,September 22 2015,April 29 2024,8916662464,,
214279,Justin,,Moore,March 31 1943,,Gold,March 8 1984,,March 5 2025,7712579542,,
502854,Michael,,Buchanan,September 4 1950,,Gold,June 11 1984,,March 17 2024,2714165353,,
175379,Marilyn,,Thomas,July 3 1927,,Basic,December 29 2019,,April 7 2026,4883041505,,
316058,Kristen,,White,June 13 1928,,Gold,June 5 2009,,April 2 2027,2503771308,,
439055,Ronald,,Cook,December 12 2004,,None,April 10 2023,May 22 2023,August 4 2027,9614892907,,
657877,Jacob,,Rogers,April 23 1993,,Silver,January 8 2019,,April 12 2026,8004149319,,
279556,Doris,,Arias,April 20 1979,,Silver,March 12 2014,,April 20 2028,9387562990,,
233821,Patrick,,Kennedy,February 19 2003,,None,July 8 2021,July 23 2021,May 15 2024,3753688972,,
237618,Adam,,Hicks,December 26 1991,,None,January 16 2017,April 26 2019,March 11 2024,9948023550,,
440732,Trevor,,Short,January 16 1933,,Platinum,July 5 1996,,May 7 2024,3213289381,,
218773,Ashley,,Martin,December 28 1955,,Gold,November 14 2013,,May 9 2025,6692362186,,
444351,Jamie,,Wang,April 26 1972,,Platinum,April 9 2015,,October 6 2025,7972751918,,
607062,Andrew,,Ali,February 24 1944,,Platinum,November 22 2010,,November 20 2023,5119087054,,
121416,David,,May,January 29 1957,,Gold,August 26 2005,,May 12 2028,3209292923,,
446433,Paula,,Davidson,February 15 2004,,None,January 10 2023,February 13 2023,September 27 2024,8833296194,,
112195,Chad,,Hines,June 22 1928,,Gold,July 30 2004,,July 12 2025,9048813258,,
296927,Charles,,Lewis,December 4 1995,,Silver,September 29 2017,,December 25 2023,5282927510,,
598947,Sandra,,Love,November 8 1958,,Platinum,May 20 2018,,January 29 2024,9587702357,,
691745,Ashley,,Moore,August 2 1938,,None,March 16 1988,September 18 1990,November 4 2024,3942635427,,
618673,James,,Davis,January 22 1965,,None,July 6 1997,February 26 2004,August 18 2026,9869759470,,
582436,Katherine,,Terry,November 17 1972,,Silver,January 5 2007,,January 24 2027,3329302014,,
125268,Howard,,Munoz,July 13 1956,,Platinum,January 11 1984,,September 16 2024,4797046958,,
166642,Samuel,,Smith,September 11 1960,,None,January 24 1994,September 28 2006,January 6 2025,8217673021,,
623201,Glen,,Hughes,September 4 1923,,Gold,November 2 1998,,December 21 2024,4086401183,,
167783,Corey,,Mora,October 22 1969,,Basic,April 3 1990,,June 22 2025,8642905733,,
101499,Jason,,Oconnor,February 22 1960,,Basic,July 20 1985,,January 15 2026,7733651303,,
302887,Andre,,Anderson,November 9 1937,,Basic,October 19 2019,,February 28 2024,9336252041,,
419391,Wayne,,Miller,April 17 1997,,Basic,October 23 2018,,March 27 2027,7789398936,,
619961,Susan,,Vargas,December 1 1979,,None,June 12 2013,April 21 2016,December 17 2025,7894880927,,
281440,Tracy,,Davis,December 18 1999,,Silver,February 4 2023,,September 29 2026,3653211921,,
137128,Christopher,,Smith,March 6 1987,,Basic,February 7 2016,,July 25 2027,4585232670,,
647537,Jorge,,Simmons,April 1 1961,,None,June 14 1989,December 6 1994,July 14 2024,4427353651,,
638066,Kristine,,Duncan,June 7 1939,,Platinum,December 16 2001,,September 15 2023,7782604353,,
119449,Tracey,,Collins,January 14 1945,,Gold,January 31 1991,,October 17 2026,8363709367,,
347670,Kevin,,Schmidt,October 6 1969,,Platinum,January 20 2004,,April 20 2028,2756101563,,
637233,Michele,,Horn,December 7 1959,,Platinum,May 3 1992,,April 27 2026,4496197565,,
229875,David,,Johnson,August 25 1926,,Gold,May 31 1988,,June 8 2026,9089009266,,
517274,Cheyenne,,Stein,April 26 1925,,Basic,February 22 2013,,August 27 2027,4198323580,,
540674,Danny,,Jones,August 1 1923,,None,August 13 1983,February 15 2008,January 14 2026,5372167613,,
322475,Kelly,,Torres,December 28 1963,,Silver,December 23 2015,,August 1 2026,4272980320,,
662399,Eric,,Adams,April 27 1992,,Basic,October 18 2010,,January 24 2027,4015858907,,
295079,Brittany,,Raymond,July 27 1978,,Gold,December 18 2007,,November 12 2025,6979460321,,
609962,Steven,,Zhang,December 18 1987,,Platinum,March 9 2013,,April 15 2024,4744409817,,
562891,Benjamin,,Ross,April 18 1980,,Gold,May 11 2012,,August 16 2025,9355096610,,
383146,Amanda,,Meyer,November 6 1952,,Silver,December 21 1987,,June 1 2027,6876486385,,
697231,Tanner,,Davis,January 27 1961,,Basic,April 12 2016,,February 5 2027,7102277197,,
351672,Dustin,,Griffin,August 15 1966,,Silver,August 30 1986,,July 13 2026,9792993657,,
648098,Adam,,Jackson,August 18 1947,,Gold,June 12 2012,,January 5 2025,9846772806,,
511448,Douglas,,Beard,December 29 1967,,None,August 22 2021,November 12 2021,January 14 2027,3593737073,,
680634,Alejandro,,Martinez,December 18 1955,,Gold,May 16 1993,,July 13 2026,6694433979,,
613226,Keith,,Shannon,August 29 1998,,Silver,May 14 2020,,December 25 2025,6494295870,,
158704,Ashley,,Hunter,August 19 1924,,None,September 12 1988,February 27 2020,October 8 2027,9948316026,,
624297,Johnny,,Calderon,March 20 1988,,None,January 22 2022,January 26 2022,July 18 2026,8766986145,,
637519,Anthony,,Ortiz,December 18 1999,,Platinum,July 25 2021,,October 19 2025,3152187323,,
574847,David,,Duncan,March 22 1951,,Basic,December 27 2018,,October 10 2025,6775630260,,
259460,Shannon,,Griffin,October 7 1934,,None,August 31 1982,March 11 2023,May 22 2027,6704631891,,
642177,Kim,,Chavez,October 2 1931,,Silver,June 19 2015,,January 29 2028,7192991919,,
169601,Adam,,Humphrey,February 15 1937,,Gold,May 10 1997,,January 3 2027,7606722264,,
329420,Sierra,,Duran,May 4 1931,,Silver,April 17 1999,,December 28 2023,9057964826,,
648033,Randy,,Hudson,June 17 1939,,Platinum,February 20 2021,,March 23 2027,4989743502,,
494793,Ashley,,Guzman,December 7 1989,,Silver,February 15 2009,,June 30 2026,8328936265,,
469499,Derek,,Salazar,May 9 1927,,Basic,August 31 2008,,October 8 2027,2685714934,,
541246,Robert,,Lewis,April 4 1998,,Platinum,December 24 2022,,June 19 2024,2176342436,,
431191,Nathan,,Johnson,September 3 1942,,Basic,June 20 1991,,June 24 2024,7718972799,,
493171,Robert,,Allen,May 28 1975,,Gold,October 31 1996,,January 14 2024,9293244974,,
195522,Michael,,Rogers,October 2 1979,,Gold,November 15 2004,,June 17 2025,2488866603,,
147956,Jacob,,Calhoun,October 22 1966,,Silver,October 30 2020,,April 14 2028,6046113932,,
525683,Aaron,,Morales,April 24 1928,,Gold,September 25 2013,,December 26 2026,5913290871,,
203600,Katherine,,Warren,July 20 1980,,Silver,December 10 2007,,November 18 2025,7526133773,,
336354,Brett,,Munoz,May 14 1929,,None,April 21 1998,February 11 2004,May 13 2024,5777915718,,
112248,Catherine,,Ward,October 3 1988,,Platinum,April 19 2020,,April 6 2028,5066674010,,
233983,John,,Richardson,August 1 1992,,None,June 8 2023,June 15 2023,March 11 2026,5678703347,,
526454,Laura,,Reynolds,December 9 1997,,Platinum,October 21 2020,,November 8 2024,7308136323,,
200764,Chad,,Graham,April 3 1941,,Platinum,November 30 1997,,March 25 2028,3129259688,,
513356,Emma,,Torres,December 21 1991,,None,March 9 2013,May 8 2013,May 22 2026,3314209177,,
270814,Sarah,,Cooper,July 8 1992,,Platinum,August 23 2021,,July 15 2025,2752889284,,
481533,Jodi,,Cameron,November 4 1924,,Gold,August 2 2011,,August 15 2024,3117062013,,
315361,Shannon,,Wright,August 12 1950,,Gold,July 28 1996,,March 15 2028,9935436584,,
600701,Michael,,Jackson,May 13 1986,,None,August 16 2010,November 14 2011,December 23 2026,5684663456,,
649024,Susan,,Bryan,September 29 1981,,Basic,November 1 2010,,August 18 2026,9224640707,,
364467,Alyssa,,Foster,September 27 1981,,Basic,April 21 2023,,February 22 2026,9484021581,,
522357,Jeremy,,Vaughn,September 19 2002,,None,June 4 2023,June 11 2023,November 21 2023,7424392521,,
522632,Charles,,Alexander,November 4 1980,,Silver,February 18 2009,,May 19 2028,9172551103,,
525892,Amanda,,Ware,December 4 1986,,Platinum,October 21 2007,,May 6 2026,7183444786,,
492593,Ashley,,Fowler,September 29 2004,,Basic,May 17 2023,,February 27 2026,3562312184,,
577109,Scott,,Yates,July 25 1964,,Basic,September 12 2005,,November 19 2024,8065502240,,
692498,John,,Baird,August 6 2001,,Basic,October 19 2020,,June 9 2027,2523405994,,
144766,William,,Cooper,August 27 1947,,None,March 21 2005,May 23 2009,June 6 2026,3083489633,,
129095,Jason,,Baxter,July 13 1934,,Gold,August 13 2018,,March 16 2027,6396488864,,
662744,Ryan,,Brown,October 6 1974,,None,September 18 2020,August 22 2022,October 28 2024,4405959388,,
556050,Daniel,,Gonzalez,October 20 1990,,Basic,July 18 2015,,March 25 2025,4929379679,,
645750,Sabrina,,Lee,October 6 1975,,Basic,June 13 2000,,February 14 2028,2276989919,,
379152,Alexander,,Wood,September 21 1960,,None,June 27 2003,December 4 2008,December 23 2024,7167641193,,
435572,Jermaine,,Lawrence,November 29 1988,,Silver,February 18 2019,,May 21 2025,5508303656,,
487662,Joshua,,Moyer,July 3 2001,,Platinum,December 25 2019,,July 9 2026,6874391671,,
225475,Amber,,Martin,June 28 1936,,Platinum,June 24 2008,,August 14 2027,5704459044,,
555356,Morgan,,Gordon,December 6 1985,,Silver,November 10 2022,,February 15 2028,2228456739,,
492659,Robert,,Fleming,February 6 1950,,Platinum,July 20 1986,,November 6 2023,2505210711,,
141260,Keith,,Mullen,September 14 1981,,Gold,January 26 2020,,January 16 2025,3443516954,,
491961,Andrew,,Ayers,May 3 1971,,Platinum,July 3 1996,,April 24 2027,7908832913,,
537100,Sarah,,Jones,May 30 1951,,None,April 27 2023,May 1 2023,September 19 2025,5423781611,,
377499,Wendy,,Webster,February 21 1957,,Basic,May 28 2021,,November 17 2027,8098355273,,
698939,Nicole,,Knox,May 14 1943,,Basic,June 21 1981,,December 29 2023,3958009325,,
338225,Andrew,,King,December 6 1936,,None,December 4 2005,September 22 2021,January 26 2024,3748727389,,
208279,Joseph,,Sexton,April 11 1970,,Silver,May 3 1991,,November 21 2027,2736526286,,
652927,Michael,,Nguyen,July 3 1990,,Silver,November 16 2010,,January 5 2026,8459402624,,
186512,David,,Aguirre,September 19 1932,,Silver,December 29 1995,,July 18 2027,7868208618,,
185311,Jeremy,,Lopez,October 5 1995,,None,December 1 2020,May 11 2023,March 29 2027,5609261986,,
417961,Susan,,Krause,August 31 1974,,Silver,June 24 2019,,September 6 2027,5654086180,,
683415,Stephen,,Armstrong,June 6 1944,,Silver,March 22 2008,,April 9 2026,2045784542,,
647385,George,,Jones,April 15 1948,,Platinum,October 22 2015,,September 22 2027,7279923214,,
408953,Samuel,,Williams,December 14 2004,,Platinum,January 23 2023,,April 12 2027,7447992103,,
369832,Cynthia,,Patton,July 14 1951,,Basic,October 23 1991,,August 7 2024,2443646948,,
374438,Joseph,,Cantu,June 24 1997,,None,January 25 2021,September 16 2022,October 3 2024,2935073833,,
394314,Jessica,,Jensen,July 13 1925,,Gold,May 27 1995,,March 19 2027,2409065033,,
253559,Troy,,Ayala,November 7 1951,,Silver,May 5 1981,,May 29 2025,2913464894,,
190118,Ryan,,Malone,November 25 1995,,Gold,September 14 2019,,October 10 2024,8085322160,,
496182,Kevin,,French,May 7 1964,,Silver,March 13 1984,,February 28 2026,6295218726,,
369742,Corey,,Whitaker,July 22 1948,,None,March 10 1981,February 16 2011,October 17 2027,6123065738,,
453658,Tracy,,Huff,May 28 1994,,Platinum,March 10 2021,,December 3 2024,2845121180,,
210860,George,,Garza,May 23 1929,,Gold,April 16 2012,,January 10 2027,4546010232,,
211062,Nicole,,Roberts,September 3 1988,,Platinum,May 31 2015,,February 8 2028,7224609887,,
288588,Chelsey,,Wells,October 27 1990,,None,January 15 2013,October 19 2015,May 13 2028,3339673538,,
266401,Jessica,,Ware,February 6 1957,,Platinum,June 20 2008,,August 3 2026,8427834904,,
460507,Michael,,Spencer,July 26 1943,,None,October 2 1982,November 2 2013,December 15 2024,2446961409,,
157004,Ronnie,,Townsend,April 7 1998,,None,December 20 2019,December 17 2020,November 4 2025,7195478811,,
607595,Joseph,,Wright,April 17 1994,,Platinum,March 21 2015,,September 14 2026,8794667764,,
653511,Jodi,,Morrow,October 15 1996,,None,December 24 2019,April 4 2021,July 17 2023,6756028304,,
333662,Matthew,,Richardson,February 5 1991,,None,May 12 2013,April 7 2017,June 4 2024,8408335206,,
659217,James,,Murillo,July 26 1947,,None,May 27 2015,April 8 2023,May 30 2028,7402762758,,
487399,Julie,,Olsen,January 4 1968,,Basic,July 26 1990,,September 22 2026,5068587066,,
508454,Crystal,,Saunders,September 15 1963,,Silver,May 25 2017,,July 14 2025,3599486905,,
663785,Timothy,,Gardner,April 19 1938,,Basic,March 11 2014,,July 4 2027,4756428843,,
125773,Destiny,,Morris,May 27 1925,,Platinum,December 7 1991,,July 26 2027,6719377700,,
102112,Jessica,,Owens,December 27 1991,,Platinum,April 3 2017,,May 20 2026,4183791026,,
173561,Mary,,Welch,August 17 1948,,Gold,January 19 2021,,March 25 2027,3484317028,,
396966,Bruce,,Duffy,July 23 1995,,Gold,April 11 2021,,November 27 2026,5407635178,,
509414,Lauren,,Stark,January 17 1924,,Gold,September 1 2009,,January 30 2026,8855856699,,
195666,Sarah,,Johnson,March 16 1927,,Silver,July 29 2001,,January 13 2024,2324281873,,
496627,Jenny,,Pollard,November 4 1972,,Gold,May 25 2012,,June 2 2026,7233041898,,
328258,Jessica,,Baker,August 4 1957,,Basic,March 27 1991,,May 30 2028,4026388749,,
415627,Diane,,Livingston,September 16 1998,,Silver,November 10 2018,,May 20 2028,7852425618,,
604314,Scott,,Palmer,September 13 1962,,Platinum,October 12 1994,,September 17 2025,6078329832,,
391457,Michael,,Glover,June 7 1955,,Platinum,August 2 1984,,October 11 2024,8843741350,,
482752,Debra,,Brewer,June 2 1926,,Gold,May 3 1987,,April 8 2027,3857652600,,
337769,Christian,,Cuevas,August 3 1933,,Silver,May 28 1993,,August 12 2023,8819336779,,
580468,Margaret,,Garcia,August 7 1988,,Basic,March 4 2014,,May 24 2026,2442981596,,
228561,Cody,,Wilson,April 4 1928,,Platinum,April 30 2022,,January 12 2027,5982603864,,
665026,John,,Shaw,September 6 1978,,Gold,November 6 2002,,March 18 2026,6512143721,,
537460,Pamela,,Wright,July 20 1933,,Basic,September 6 1988,,August 31 2027,3465869843,,
300985,Jason,,George,October 10 1983,,Basic,March 3 2014,,August 20 2024,2756388602,,
105591,Jennifer,,Flores,October 23 1969,,Silver,October 19 1992,,August 4 2027,2093990329,,
679661,Phillip,,Blankenship,August 19 1979,,Basic,July 15 2011,,November 6 2025,8442704506,,
577512,Joseph,,Johnston,September 9 1960,,None,December 14 2012,January 12 2023,August 16 2023,5432610610,,
423492,Lorraine,,Weaver,January 9 1994,,None,November 17 2018,January 11 2021,December 21 2023,6058843885,,
230793,Joseph,,Gallagher,October 1 1924,,Gold,April 1 2003,,January 18 2026,9554263655,,
368549,Ryan,,Davis,April 1 1946,,Silver,February 9 2016,,December 5 2027,5065193461,,
208782,Amanda,,Cruz,June 13 1932,,None,September 3 2003,February 27 2022,September 23 2026,2054249067,,
251223,Joseph,,Larson,March 12 1928,,None,January 30 1997,April 12 2000,April 9 2025,4653075932,,
499369,James,,Gilmore,June 26 1962,,None,January 5 2019,February 26 2019,November 10 2024,4495390926,,
436724,Joshua,,Miller,September 16 1977,,Basic,September 16 2000,,August 21 2024,4084443007,,
152693,Jacqueline,,Gibson,April 1 1937,,Basic,February 9 1986,,June 7 2026,2689380837,,
402049,Daryl,,Reyes,July 3 1973,,Gold,August 19 2017,,March 3 2026,7386257521,,
511013,Barbara,,Jackson,May 5 1937,,Basic,November 19 2021,,August 2 2026,8992270843,,
215266,Jennifer,,Anderson,October 29 1955,,Platinum,July 22 1996,,June 12 2028,3154269393,,
517979,Allison,,Bowen,December 5 1930,,Basic,November 8 1991,,October 4 2023,4608782094,,
134282,Alexandra,,Webb,January 28 1951,,Gold,June 29 2012,,May 9 2026,3183394719,,
327025,Joseph,,Kline,May 6 2003,,Gold,April 23 2023,,March 3 2028,7157862103,,
428275,Nicole,,Hill,January 9 1939,,Platinum,March 31 1990,,July 27 2023,4659207201,,
154966,Chad,,Torres,October 13 2004,,Basic,March 17 2023,,January 4 2027,6028973916,,
334550,Jessica,,Stanley,October 30 1938,,Basic,July 6 1990,,June 5 2027,9034469697,,
160727,April,,Patterson,March 20 1937,,Gold,February 17 1995,,February 17 2028,5169395326,,
508998,Matthew,,Mitchell,December 27 1970,,Basic,December 6 1989,,September 19 2023,7682786921,,
272671,Kimberly,,Perez,September 3 2003,,None,September 29 2021,April 30 2022,January 18 2028,9447113188,,
351155,Kayla,,Scott,November 18 1968,,Gold,December 26 2017,,December 3 2026,8269521978,,
488605,Julia,,Ortiz,June 13 2005,,Basic,June 13 2023,,October 13 2025,2922457649,,
169182,Nicole,,Erickson,June 9 1980,,None,October 28 2022,December 1 2022,May 26 2026,4016824799,,
342315,Devin,,Warner,June 24 1954,,Silver,July 5 2001,,September 20 2025,3839096393,,
433932,Valerie,,Andersen,August 1 1995,,Basic,May 6 2015,,March 1 2026,9598874192,,
315815,Dawn,,Miller,May 29 1979,,Basic,June 1 2008,,December 12 2026,3605923219,,
559184,Erin,,Haynes,September 30 1946,,Gold,April 29 1984,,December 20 2025,6047831803,,
570213,Samantha,,Washington,February 20 1964,,Basic,January 21 2012,,October 21 2027,9769276874,,
211431,Austin,,Rodriguez,October 8 1979,,None,April 14 2014,July 7 2021,August 31 2023,4908982407,,
465075,Michael,,Sanchez,May 2 1990,,Platinum,January 5 2016,,June 22 2027,6686141775,,
186776,Brooke,,Maldonado,August 3 1969,,Platinum,April 2 1997,,October 18 2027,2479510083,,
627809,Renee,,White,June 28 1997,,Gold,September 18 2020,,April 15 2027,6179297555,,
190600,Samuel,,Case,December 11 1963,,Silver,November 7 1994,,April 20 2025,9343131487,,
585282,Carla,,Arnold,May 1 1980,,Platinum,January 19 2001,,June 24 2024,5623010318,,
105748,Nancy,,Hicks,October 29 1995,,Platinum,September 17 2015,,June 23 2026,9415411944,,
265798,James,,Chan,July 6 1989,,None,July 26 2016,December 17 2021,July 5 2026,3207770669,,
251738,Wendy,,Johnson,July 14 2000,,None,July 8 2021,May 7 2023,July 30 2025,7714727441,,
